Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2020,2,Capital Federal,2.400,"5.785,00"
2020,2,Catamarca,969,"3.808,00"
2020,2,Chaco,977,"3.656,00"
2020,2,Chubut,1.037,"3.384,00"
2020,2,Córdoba,2.923,"9.546,00"
2020,2,Corrientes,996,"3.781,00"
2020,2,Entre Ríos,1.578,"5.278,00"
2020,2,Formosa,980,"3.852,00"
2020,2,Jujuy,1.269,"4.964,00"
2020,2,La Pampa,2.258,"6.853,00"
2020,2,La Rioja,491,"1.844,00"
2020,2,Mendoza,516,"1.850,00"
2020,2,Misiones,1.128,"4.142,00"
2020,2,Neuquén,1.197,"4.023,00"
2020,2,Río Negro,1.494,"4.858,00"
2020,2,Salta,1.424,"5.879,00"
2020,2,San Juan,424,"1.666,00"
2020,2,San Luis,904,"3.159,00"
2020,2,Santa Cruz,1.198,"4.026,00"
2020,2,Santa Fe,1.903,"6.053,00"
2020,2,Santiago Del Estero,922,"3.714,00"
2020,2,Tierra Del Fuego,2.422,"8.169,00"
2020,2,Tucumán,574,"2.317,00"
2020,1,Buenos Aires,1.690,"5.127,00"
2020,1,Capital Federal,2.412,"5.806,00"
2020,1,Catamarca,950,"3.733,00"
2020,1,Chaco,954,"3.570,00"
2020,1,Chubut,1.095,"3.573,00"
2020,1,Córdoba,2.836,"9.263,00"
2020,1,Corrientes,985,"3.741,00"
2020,1,Entre Ríos,1.596,"5.338,00"
2020,1,Formosa,982,"3.856,00"
2020,1,Jujuy,1.271,"4.972,00"
2020,1,La Pampa,2.235,"6.785,00"
2020,1,La Rioja,481,"1.808,00"
2020,1,Mendoza,520,"1.863,00"
2020,1,Misiones,1.141,"4.188,00"
2020,1,Neuquén,1.185,"3.980,00"
2020,1,Río Negro,1.475,"4.797,00"
2020,1,Salta,1.319,"5.445,00"
2020,1,San Juan,389,"1.528,00"
2020,1,San Luis,941,"3.290,00"
2020,1,Santa Cruz,1.194,"4.014,00"
2020,1,Santa Fe,1.902,"6.049,00"
2020,1,Santiago Del Estero,912,"3.676,00"
2020,1,Tierra Del Fuego,2.412,"8.136,00"
2020,1,Tucumán,654,"2.640,00"
2019,4,Buenos Aires,1.619,"4.923,00"
2019,4,Capital Federal,2.917,"7.013,00"
2019,4,Catamarca,993,"3.903,00"
2019,4,Chaco,955,"3.571,00"
2019,4,Chubut,1.140,"3.720,00"
2019,4,Córdoba,2.979,"9.730,00"
2019,4,Corrientes,984,"3.738,00"
2019,4,Entre Ríos,1.599,"5.348,00"
2019,4,Formosa,982,"3.859,00"
2019,4,Jujuy,1.242,"4.855,00"
2019,4,La Pampa,2.272,"6.897,00"
2019,4,La Rioja,486,"1.826,00"
2019,4,Mendoza,517,"1.854,00"
2019,4,Misiones,1.153,"4.232,00"
2019,4,Neuquén,1.165,"3.915,00"
2019,4,Río Negro,1.490,"4.846,00"
2019,4,Salta,1.338,"5.523,00"
2019,4,San Juan,380,"1.493,00"
2019,4,San Luis,960,"3.353,00"
2019,4,Santa Cruz,1.331,"4.472,00"
2019,4,Santa Fe,1.869,"5.945,00"
2019,4,Santiago Del Estero,924,"3.724,00"
2019,4,Tierra Del Fuego,2.432,"8.203,00"
2019,4,Tucumán,674,"2.721,00"
2019,3,Buenos Aires,1.574,"4.795,00"
2019,3,Capital Federal,2.807,"6.741,00"
2019,3,Catamarca,990,"3.892,00"
2019,3,Chaco,934,"3.493,00"
2019,3,Chubut,1.152,"3.757,00"
2019,3,Córdoba,2.961,"9.672,00"
2019,3,Corrientes,980,"3.721,00"
2019,3,Entre Ríos,1.573,"5.261,00"
2019,3,Formosa,983,"3.861,00"
2019,3,Jujuy,1.197,"4.681,00"
2019,3,La Pampa,2.321,"7.043,00"
2019,3,La Rioja,516,"1.939,00"
2019,3,Mendoza,527,"1.887,00"
2019,3,Misiones,1.148,"4.216,00"
2019,3,Neuquén,1.178,"3.958,00"
2019,3,Río Negro,1.507,"4.900,00"
2019,3,Salta,1.337,"5.520,00"
2019,3,San Juan,398,"1.561,00"
2019,3,San Luis,985,"3.442,00"
2019,3,Santa Cruz,1.342,"4.511,00"
2019,3,Santa Fe,1.866,"5.934,00"
2019,3,Santiago Del Estero,924,"3.725,00"
2019,3,Tierra Del Fuego,2.523,"8.510,00"
2019,3,Tucumán,655,"2.644,00"
2019,2,Buenos Aires,1.548,"4.728,00"
2019,2,Capital Federal,2.639,"6.329,00"
2019,2,Catamarca,804,"3.161,00"
2019,2,Chaco,911,"3.408,00"
2019,2,Chubut,1.442,"4.705,00"
2019,2,Córdoba,2.860,"9.342,00"
2019,2,Corrientes,976,"3.708,00"
2019,2,Entre Ríos,1.542,"5.158,00"
2019,2,Formosa,1.019,"4.003,00"
2019,2,Jujuy,1.162,"4.546,00"
2019,2,La Pampa,2.340,"7.103,00"
2019,2,La Rioja,667,"2.507,00"
2019,2,Mendoza,710,"2.543,00"
2019,2,Misiones,1.135,"4.168,00"
2019,2,Neuquén,1.209,"4.062,00"
2019,2,Río Negro,1.475,"4.794,00"
2019,2,Salta,1.320,"5.451,00"
2019,2,San Juan,561,"2.204,00"
2019,2,San Luis,1.068,"3.732,00"
2019,2,Santa Cruz,1.476,"4.961,00"
2019,2,Santa Fe,1.720,"5.469,00"
2019,2,Santiago Del Estero,1.126,"4.538,00"
2019,2,Tierra Del Fuego,2.713,"9.152,00"
2019,2,Tucumán,702,"2.835,00"
2019,1,Buenos Aires,1.552,"4.751,00"
2019,1,Capital Federal,2.570,"6.157,00"
2019,1,Catamarca,807,"3.171,00"
2019,1,Chaco,901,"3.371,00"
2019,1,Chubut,1.498,"4.887,00"
2019,1,Córdoba,2.850,"9.309,00"
2019,1,Corrientes,915,"3.475,00"
2019,1,Entre Ríos,1.536,"5.136,00"
2019,1,Formosa,948,"3.724,00"
2019,1,Jujuy,1.157,"4.525,00"
2019,1,La Pampa,2.295,"6.967,00"
2019,1,La Rioja,671,"2.519,00"
2019,1,Mendoza,716,"2.565,00"
2019,1,Misiones,1.107,"4.064,00"
2019,1,Neuquén,1.226,"4.120,00"
2019,1,Río Negro,1.226,"3.987,00"
2019,1,Salta,1.248,"5.151,00"
2019,1,San Juan,572,"2.247,00"
2019,1,San Luis,1.071,"3.744,00"
2019,1,Santa Cruz,1.607,"5.401,00"
2019,1,Santa Fe,1.714,"5.452,00"
2019,1,Santiago Del Estero,1.132,"4.561,00"
2019,1,Tierra Del Fuego,2.733,"9.218,00"
2019,1,Tucumán,711,"2.871,00"
2018,4,Buenos Aires,1.547,"4.745,00"
2018,4,Capital Federal,2.446,"5.854,00"
2018,4,Catamarca,819,"3.219,00"
2018,4,Chaco,843,"3.154,00"
2018,4,Chubut,1.503,"4.904,00"
2018,4,Córdoba,2.856,"9.329,00"
2018,4,Corrientes,925,"3.513,00"
2018,4,Entre Ríos,1.525,"5.100,00"
2018,4,Formosa,986,"3.873,00"
2018,4,Jujuy,1.303,"5.096,00"
2018,4,La Pampa,2.302,"6.986,00"
2018,4,La Rioja,645,"2.421,00"
2018,4,Mendoza,600,"2.148,00"
2018,4,Misiones,1.112,"4.084,00"
2018,4,Neuquén,1.230,"4.133,00"
2018,4,Río Negro,1.246,"4.050,00"
2018,4,Salta,1.267,"5.230,00"
2018,4,San Juan,568,"2.229,00"
2018,4,San Luis,1.107,"3.870,00"
2018,4,Santa Cruz,1.621,"5.446,00"
2018,4,Santa Fe,1.715,"5.455,00"
